Load (N/m),Displacement for k_s=0.10*k_l (m),Displacement for k_s=0.30*k_l (m),Displacement for k_s=0.50*k_l (m),Displacement for k_s=0.70*k_l (m),Displacement for k_s=0.90*k_l (m),Displacement for k_s=1.10*k_l (m),Displacement for k_s=1.30*k_l (m),Displacement for k_s=1.50*k_l (m),Displacement for k_s=1.70*k_l (m),Displacement for k_s=1.90*k_l (m),Displacement for k_s=2.10*k_l (m),Displacement for k_s=2.30*k_l (m),Displacement for k_s=2.50*k_l (m),Displacement for k_s=2.70*k_l (m),Displacement for k_s=2.90*k_l (m)
1.3926,2.333881585703571,2.024909896901414,1.773163937557702,1.55524221323536,1.346242039392453,0.5941851983737082,0.483074139196235,0.4231229211345488,0.3805035543827745,0.347336448891345,0.3203982059538488,0.2978279116149913,0.2785308677465832,0.2617791924726399,0.2470617026317741
1.4216125,2.348260834695976,2.038068546556913,1.785737370546984,1.568113148766976,1.361567533497921,0.6296756110112033,0.4983940473939372,0.4345072832414324,0.3900051590889999,0.3556285385931692,0.327829429468695,0.3045971627650986,0.284768268734133,0.2675759068081573,0.2524848653951301
1.450625,2.362615812048369,2.051186270839064,1.798236044599585,1.580823496035615,1.376497197588537,0.6871830888055062,0.514358688120849,0.446254811886707,0.3996433081015944,0.3640487925245707,0.3353142711791932,0.311404066326752,0.2910333026753589,0.2733935925860557,0.2579243708932417
1.4796375,2.376947438462016,2.064264877453846,1.810664095192551,1.593385515241992,1.390967706300133,1.141489199250492,0.5313959503079215,0.4582235856453008,0.4094279932919305,0.3725146099036435,0.3428551876684858,0.3182500896448739,0.2973269084873622,0.2792328824894709,0.2633806630248939
1.50865,2.391256589082087,2.077306067359235,1.823025338556202,1.605810113543208,1.405037161116159,1.177365971716689,0.5494670350664025,0.4705244829893551,0.41937030604123,0.3810719184936131,0.3504547957567802,0.3251367799081804,0.3036500689006759,0.2850944350418652,0.2688542018078457
1.5376625,2.405544096320595,2.090311442804778,1.835323303896859,1.618107042379573,1.418753668586151,1.200127683313575,0.5691810712265338,0.4831973516243761,0.4294826035660357,0.3897262129457371,0.3581158864134428,0.3320657698558172,0.3100038131131155,0.2909789359623646,0.274345464123163
1.566675,2.419810752467296,2.103282514628799,1.847561261597286,1.630285059286221,1.43215680796075,1.220635262650113,0.5908930051058326,0.4962891667840625,0.4397787077778749,0.398483410288956,0.3658414401927006,0.3390387839933918,0.3163892196425304,0.2968870996082906,0.2798549445013607
1.5956875,2.434057312107342,2.116220708894598,1.859758091620866,1.642352061712923,1.445279605446921,1.239475608580394,0.6154174712235774,0.5099825208214486,0.4502741445678414,0.4073499584845564,0.3736765131334566,0.3460576453729789,0.3228074193962032,0.3028196705115075,0.2853831559531069
1.6247,2.448284494362557,2.129127372936692,1.871886973706179,1.654315198559018,1.458089977012066,1.257221214038571,0.6447308711987322,0.524134917934763,0.4610726641392069,0.4163329009709367,0.3815463629359137,0.3531242829984689,0.3292595989764628,0.308777425015781,0.2909306308474374
1.6537125,2.462492984971486,2.142003780879321,1.883964294404041,1.666172140053395,1.470744614093703,1.273931024048229,0.6825782070917643,0.5389286644018927,0.4720405195943304,0.4254399510984173,0.3894915982376773,0.3602407399253775,0.3357470042441124,0.3147611730229697,0.2964979218406564
